id,nombre,descripcion,activo
1,Registro_1,Descripcion del registro 1,true
2,Registro_2,Descripcion del registro 2,true
3,Registro_3,Descripcion del registro 3,true
4,Registro_4,Descripcion del registro 4,true
5,Registro_5,Descripcion del registro 5,true
6,Registro_6,Descripcion del registro 6,true
7,Registro_7,Descripcion del registro 7,true
8,Registro_8,Descripcion del registro 8,true
9,Registro_9,Descripcion del registro 9,true
10,Registro_10,Descripcion del registro 10,true
11,Registro_11,Descripcion del registro 11,true
12,Registro_12,Descripcion del registro 12,true
13,Registro_13,Descripcion del registro 13,true
14,Registro_14,Descripcion del registro 14,true
15,Registro_15,Descripcion del registro 15,true
16,Registro_16,Descripcion del registro 16,true
17,Registro_17,Descripcion del registro 17,true
18,Registro_18,Descripcion del registro 18,true
19,Registro_19,Descripcion del registro 19,true
20,Registro_20,Descripcion del registro 20,true
21,Registro_21,Descripcion del registro 21,true
22,Registro_22,Descripcion del registro 22,true
23,Registro_23,Descripcion del registro 23,true
24,Registro_24,Descripcion del registro 24,true
25,Registro_25,Descripcion del registro 25,true
26,Registro_26,Descripcion del registro 26,true
27,Registro_27,Descripcion del registro 27,true
28,Registro_28,Descripcion del registro 28,true
29,Registro_29,Descripcion del registro 29,true
30,Registro_30,Descripcion del registro 30,true
31,Registro_31,Descripcion del registro 31,true
32,Registro_32,Descripcion del registro 32,true
33,Registro_33,Descripcion del registro 33,true
34,Registro_34,Descripcion del registro 34,true
35,Registro_35,Descripcion del registro 35,true
36,Registro_36,Descripcion del registro 36,true
37,Registro_37,Descripcion del registro 37,true
38,Registro_38,Descripcion del registro 38,true
39,Registro_39,Descripcion del registro 39,true
40,Registro_40,Descripcion del registro 40,true
41,Registro_41,Descripcion del registro 41,true
42,Registro_42,Descripcion del registro 42,true
43,Registro_43,Descripcion del registro 43,true
44,Registro_44,Descripcion del registro 44,true
45,Registro_45,Descripcion del registro 45,true
46,Registro_46,Descripcion del registro 46,true
47,Registro_47,Descripcion del registro 47,true
48,Registro_48,Descripcion del registro 48,true
49,Registro_49,Descripcion del registro 49,true
50,Registro_50,Descripcion del registro 50,true
51,Registro_51,Descripcion del registro 51,true
52,Registro_52,Descripcion del registro 52,true
53,Registro_53,Descripcion del registro 53,true
54,Registro_54,Descripcion del registro 54,true
55,Registro_55,Descripcion del registro 55,true
56,Registro_56,Descripcion del registro 56,true
57,Registro_57,Descripcion del registro 57,true
58,Registro_58,Descripcion del registro 58,true
59,Registro_59,Descripcion del registro 59,true
60,Registro_60,Descripcion del registro 60,true
61,Registro_61,Descripcion del registro 61,true
62,Registro_62,Descripcion del registro 62,true
63,Registro_63,Descripcion del registro 63,true
64,Registro_64,Descripcion del registro 64,true
65,Registro_65,Descripcion del registro 65,true
66,Registro_66,Descripcion del registro 66,true
67,Registro_67,Descripcion del registro 67,true
68,Registro_68,Descripcion del registro 68,true
69,Registro_69,Descripcion del registro 69,true
70,Registro_70,Descripcion del registro 70,true
71,Registro_71,Descripcion del registro 71,true
72,Registro_72,Descripcion del registro 72,true
73,Registro_73,Descripcion del registro 73,true
74,Registro_74,Descripcion del registro 74,true
75,Registro_75,Descripcion del registro 75,true
76,Registro_76,Descripcion del registro 76,true
77,Registro_77,Descripcion del registro 77,true
78,Registro_78,Descripcion del registro 78,true
79,Registro_79,Descripcion del registro 79,true
80,Registro_80,Descripcion del registro 80,true
81,Registro_81,Descripcion del registro 81,true
82,Registro_82,Descripcion del registro 82,true
83,Registro_83,Descripcion del registro 83,true
84,Registro_84,Descripcion del registro 84,true
85,Registro_85,Descripcion del registro 85,true
86,Registro_86,Descripcion del registro 86,true
87,Registro_87,Descripcion del registro 87,true
88,Registro_88,Descripcion del registro 88,true
89,Registro_89,Descripcion del registro 89,true
90,Registro_90,Descripcion del registro 90,true
91,Registro_91,Descripcion del registro 91,true
92,Registro_92,Descripcion del registro 92,true
93,Registro_93,Descripcion del registro 93,true
94,Registro_94,Descripcion del registro 94,true
95,Registro_95,Descripcion del registro 95,true
96,Registro_96,Descripcion del registro 96,true
97,Registro_97,Descripcion del registro 97,true
98,Registro_98,Descripcion del registro 98,true
99,Registro_99,Descripcion del registro 99,true
100,Registro_100,Descripcion del registro 100,true
101,Registro_101,Descripcion del registro 101,true
102,Registro_102,Descripcion del registro 102,true
103,Registro_103,Descripcion del registro 103,true
104,Registro_104,Descripcion del registro 104,true
105,Registro_105,Descripcion del registro 105,true
106,Registro_106,Descripcion del registro 106,true
107,Registro_107,Descripcion del registro 107,true
108,Registro_108,Descripcion del registro 108,true
109,Registro_109,Descripcion del registro 109,true
110,Registro_110,Descripcion del registro 110,true
111,Registro_111,Descripcion del registro 111,true
112,Registro_112,Descripcion del registro 112,true
113,Registro_113,Descripcion del registro 113,true
114,Registro_114,Descripcion del registro 114,true
115,Registro_115,Descripcion del registro 115,true
116,Registro_116,Descripcion del registro 116,true
117,Registro_117,Descripcion del registro 117,true
118,Registro_118,Descripcion del registro 118,true
119,Registro_119,Descripcion del registro 119,true
120,Registro_120,Descripcion del registro 120,true
121,Registro_121,Descripcion del registro 121,true
122,Registro_122,Descripcion del registro 122,true
123,Registro_123,Descripcion del registro 123,true
124,Registro_124,Descripcion del registro 124,true
125,Registro_125,Descripcion del registro 125,true
126,Registro_126,Descripcion del registro 126,true
127,Registro_127,Descripcion del registro 127,true
128,Registro_128,Descripcion del registro 128,true
129,Registro_129,Descripcion del registro 129,true
130,Registro_130,Descripcion del registro 130,true
131,Registro_131,Descripcion del registro 131,true
132,Registro_132,Descripcion del registro 132,true
133,Registro_133,Descripcion del registro 133,true
134,Registro_134,Descripcion del registro 134,true
135,Registro_135,Descripcion del registro 135,true
136,Registro_136,Descripcion del registro 136,true
137,Registro_137,Descripcion del registro 137,true
138,Registro_138,Descripcion del registro 138,true
139,Registro_139,Descripcion del registro 139,true
140,Registro_140,Descripcion del registro 140,true
141,Registro_141,Descripcion del registro 141,true
142,Registro_142,Descripcion del registro 142,true
143,Registro_143,Descripcion del registro 143,true
144,Registro_144,Descripcion del registro 144,true
145,Registro_145,Descripcion del registro 145,true
146,Registro_146,Descripcion del registro 146,true
147,Registro_147,Descripcion del registro 147,true
148,Registro_148,Descripcion del registro 148,true
149,Registro_149,Descripcion del registro 149,true
150,Registro_150,Descripcion del registro 150,true
151,Registro_151,Descripcion del registro 151,true
152,Registro_152,Descripcion del registro 152,true
153,Registro_153,Descripcion del registro 153,true
154,Registro_154,Descripcion del registro 154,true
155,Registro_155,Descripcion del registro 155,true
156,Registro_156,Descripcion del registro 156,true
157,Registro_157,Descripcion del registro 157,true
158,Registro_158,Descripcion del registro 158,true
159,Registro_159,Descripcion del registro 159,true
160,Registro_160,Descripcion del registro 160,true
161,Registro_161,Descripcion del registro 161,true
162,Registro_162,Descripcion del registro 162,true
163,Registro_163,Descripcion del registro 163,true
164,Registro_164,Descripcion del registro 164,true
165,Registro_165,Descripcion del registro 165,true
166,Registro_166,Descripcion del registro 166,true
167,Registro_167,Descripcion del registro 167,true
168,Registro_168,Descripcion del registro 168,true
169,Registro_169,Descripcion del registro 169,true
170,Registro_170,Descripcion del registro 170,true
171,Registro_171,Descripcion del registro 171,true
172,Registro_172,Descripcion del registro 172,true
173,Registro_173,Descripcion del registro 173,true
174,Registro_174,Descripcion del registro 174,true
175,Registro_175,Descripcion del registro 175,true
176,Registro_176,Descripcion del registro 176,true
177,Registro_177,Descripcion del registro 177,true
178,Registro_178,Descripcion del registro 178,true
179,Registro_179,Descripcion del registro 179,true
180,Registro_180,Descripcion del registro 180,true
181,Registro_181,Descripcion del registro 181,true
182,Registro_182,Descripcion del registro 182,true
183,Registro_183,Descripcion del registro 183,true
184,Registro_184,Descripcion del registro 184,true
185,Registro_185,Descripcion del registro 185,true
186,Registro_186,Descripcion del registro 186,true
187,Registro_187,Descripcion del registro 187,true
188,Registro_188,Descripcion del registro 188,true
189,Registro_189,Descripcion del registro 189,true
190,Registro_190,Descripcion del registro 190,true
191,Registro_191,Descripcion del registro 191,true
192,Registro_192,Descripcion del registro 192,true
193,Registro_193,Descripcion del registro 193,true
194,Registro_194,Descripcion del registro 194,true
195,Registro_195,Descripcion del registro 195,true
196,Registro_196,Descripcion del registro 196,true
197,Registro_197,Descripcion del registro 197,true
198,Registro_198,Descripcion del registro 198,true
199,Registro_199,Descripcion del registro 199,true
200,Registro_200,Descripcion del registro 200,true
201,Registro_201,Descripcion del registro 201,true
202,Registro_202,Descripcion del registro 202,true
203,Registro_203,Descripcion del registro 203,true
204,Registro_204,Descripcion del registro 204,true
205,Registro_205,Descripcion del registro 205,true
206,Registro_206,Descripcion del registro 206,true
207,Registro_207,Descripcion del registro 207,true
208,Registro_208,Descripcion del registro 208,true
209,Registro_209,Descripcion del registro 209,true
210,Registro_210,Descripcion del registro 210,true
211,Registro_211,Descripcion del registro 211,true
212,Registro_212,Descripcion del registro 212,true
213,Registro_213,Descripcion del registro 213,true
214,Registro_214,Descripcion del registro 214,true
215,Registro_215,Descripcion del registro 215,true
216,Registro_216,Descripcion del registro 216,true
217,Registro_217,Descripcion del registro 217,true
218,Registro_218,Descripcion del registro 218,true
219,Registro_219,Descripcion del registro 219,true
220,Registro_220,Descripcion del registro 220,true
221,Registro_221,Descripcion del registro 221,true
222,Registro_222,Descripcion del registro 222,true
223,Registro_223,Descripcion del registro 223,true
224,Registro_224,Descripcion del registro 224,true
225,Registro_225,Descripcion del registro 225,true
226,Registro_226,Descripcion del registro 226,true
227,Registro_227,Descripcion del registro 227,true
228,Registro_228,Descripcion del registro 228,true
229,Registro_229,Descripcion del registro 229,true
230,Registro_230,Descripcion del registro 230,true
231,Registro_231,Descripcion del registro 231,true
232,Registro_232,Descripcion del registro 232,true
233,Registro_233,Descripcion del registro 233,true
234,Registro_234,Descripcion del registro 234,true
235,Registro_235,Descripcion del registro 235,true
236,Registro_236,Descripcion del registro 236,true
237,Registro_237,Descripcion del registro 237,true
238,Registro_238,Descripcion del registro 238,true
239,Registro_239,Descripcion del registro 239,true
240,Registro_240,Descripcion del registro 240,true
241,Registro_241,Descripcion del registro 241,true
242,Registro_242,Descripcion del registro 242,true
243,Registro_243,Descripcion del registro 243,true
244,Registro_244,Descripcion del registro 244,true
245,Registro_245,Descripcion del registro 245,true
246,Registro_246,Descripcion del registro 246,true
247,Registro_247,Descripcion del registro 247,true
248,Registro_248,Descripcion del registro 248,true
249,Registro_249,Descripcion del registro 249,true
250,Registro_250,Descripcion del registro 250,true
251,Registro_251,Descripcion del registro 251,true
252,Registro_252,Descripcion del registro 252,true
253,Registro_253,Descripcion del registro 253,true
254,Registro_254,Descripcion del registro 254,true
255,Registro_255,Descripcion del registro 255,true
256,Registro_256,Descripcion del registro 256,true
257,Registro_257,Descripcion del registro 257,true
258,Registro_258,Descripcion del registro 258,true
259,Registro_259,Descripcion del registro 259,true
260,Registro_260,Descripcion del registro 260,true
261,Registro_261,Descripcion del registro 261,true
262,Registro_262,Descripcion del registro 262,true
263,Registro_263,Descripcion del registro 263,true
264,Registro_264,Descripcion del registro 264,true
265,Registro_265,Descripcion del registro 265,true
266,Registro_266,Descripcion del registro 266,true
267,Registro_267,Descripcion del registro 267,true
268,Registro_268,Descripcion del registro 268,true
269,Registro_269,Descripcion del registro 269,true
270,Registro_270,Descripcion del registro 270,true
271,Registro_271,Descripcion del registro 271,true
272,Registro_272,Descripcion del registro 272,true
273,Registro_273,Descripcion del registro 273,true
274,Registro_274,Descripcion del registro 274,true
275,Registro_275,Descripcion del registro 275,true
276,Registro_276,Descripcion del registro 276,true
277,Registro_277,Descripcion del registro 277,true
278,Registro_278,Descripcion del registro 278,true
279,Registro_279,Descripcion del registro 279,true
280,Registro_280,Descripcion del registro 280,true
281,Registro_281,Descripcion del registro 281,true
282,Registro_282,Descripcion del registro 282,true
283,Registro_283,Descripcion del registro 283,true
284,Registro_284,Descripcion del registro 284,true
285,Registro_285,Descripcion del registro 285,true
286,Registro_286,Descripcion del registro 286,true
287,Registro_287,Descripcion del registro 287,true
288,Registro_288,Descripcion del registro 288,true
289,Registro_289,Descripcion del registro 289,true
290,Registro_290,Descripcion del registro 290,true
291,Registro_291,Descripcion del registro 291,true
292,Registro_292,Descripcion del registro 292,true
293,Registro_293,Descripcion del registro 293,true
294,Registro_294,Descripcion del registro 294,true
295,Registro_295,Descripcion del registro 295,true
296,Registro_296,Descripcion del registro 296,true
297,Registro_297,Descripcion del registro 297,true
298,Registro_298,Descripcion del registro 298,true
299,Registro_299,Descripcion del registro 299,true
300,Registro_300,Descripcion del registro 300,true
301,Registro_301,Descripcion del registro 301,true
302,Registro_302,Descripcion del registro 302,true
303,Registro_303,Descripcion del registro 303,true
304,Registro_304,Descripcion del registro 304,true
305,Registro_305,Descripcion del registro 305,true
306,Registro_306,Descripcion del registro 306,true
307,Registro_307,Descripcion del registro 307,true
308,Registro_308,Descripcion del registro 308,true
309,Registro_309,Descripcion del registro 309,true
310,Registro_310,Descripcion del registro 310,true
311,Registro_311,Descripcion del registro 311,true
312,Registro_312,Descripcion del registro 312,true
313,Registro_313,Descripcion del registro 313,true
314,Registro_314,Descripcion del registro 314,true
315,Registro_315,Descripcion del registro 315,true
316,Registro_316,Descripcion del registro 316,true
317,Registro_317,Descripcion del registro 317,true
318,Registro_318,Descripcion del registro 318,true
319,Registro_319,Descripcion del registro 319,true
320,Registro_320,Descripcion del registro 320,true
321,Registro_321,Descripcion del registro 321,true
322,Registro_322,Descripcion del registro 322,true
323,Registro_323,Descripcion del registro 323,true
324,Registro_324,Descripcion del registro 324,true
325,Registro_325,Descripcion del registro 325,true
326,Registro_326,Descripcion del registro 326,true
327,Registro_327,Descripcion del registro 327,true
328,Registro_328,Descripcion del registro 328,true
329,Registro_329,Descripcion del registro 329,true
330,Registro_330,Descripcion del registro 330,true
331,Registro_331,Descripcion del registro 331,true
332,Registro_332,Descripcion del registro 332,true
333,Registro_333,Descripcion del registro 333,true
334,Registro_334,Descripcion del registro 334,true
335,Registro_335,Descripcion del registro 335,true
336,Registro_336,Descripcion del registro 336,true
337,Registro_337,Descripcion del registro 337,true
338,Registro_338,Descripcion del registro 338,true
339,Registro_339,Descripcion del registro 339,true
340,Registro_340,Descripcion del registro 340,true
341,Registro_341,Descripcion del registro 341,true
342,Registro_342,Descripcion del registro 342,true
343,Registro_343,Descripcion del registro 343,true
344,Registro_344,Descripcion del registro 344,true
345,Registro_345,Descripcion del registro 345,true
346,Registro_346,Descripcion del registro 346,true
347,Registro_347,Descripcion del registro 347,true
348,Registro_348,Descripcion del registro 348,true
349,Registro_349,Descripcion del registro 349,true
350,Registro_350,Descripcion del registro 350,true
351,Registro_351,Descripcion del registro 351,true
352,Registro_352,Descripcion del registro 352,true
353,Registro_353,Descripcion del registro 353,true
354,Registro_354,Descripcion del registro 354,true
355,Registro_355,Descripcion del registro 355,true
356,Registro_356,Descripcion del registro 356,true
357,Registro_357,Descripcion del registro 357,true
358,Registro_358,Descripcion del registro 358,true
359,Registro_359,Descripcion del registro 359,true
360,Registro_360,Descripcion del registro 360,true
361,Registro_361,Descripcion del registro 361,true
362,Registro_362,Descripcion del registro 362,true
363,Registro_363,Descripcion del registro 363,true
364,Registro_364,Descripcion del registro 364,true
365,Registro_365,Descripcion del registro 365,true
366,Registro_366,Descripcion del registro 366,true
367,Registro_367,Descripcion del registro 367,true
368,Registro_368,Descripcion del registro 368,true
369,Registro_369,Descripcion del registro 369,true
370,Registro_370,Descripcion del registro 370,true
371,Registro_371,Descripcion del registro 371,true
372,Registro_372,Descripcion del registro 372,true
373,Registro_373,Descripcion del registro 373,true
374,Registro_374,Descripcion del registro 374,true
375,Registro_375,Descripcion del registro 375,true
376,Registro_376,Descripcion del registro 376,true
377,Registro_377,Descripcion del registro 377,true
378,Registro_378,Descripcion del registro 378,true
379,Registro_379,Descripcion del registro 379,true
380,Registro_380,Descripcion del registro 380,true
381,Registro_381,Descripcion del registro 381,true
382,Registro_382,Descripcion del registro 382,true
383,Registro_383,Descripcion del registro 383,true
384,Registro_384,Descripcion del registro 384,true
385,Registro_385,Descripcion del registro 385,true
386,Registro_386,Descripcion del registro 386,true
387,Registro_387,Descripcion del registro 387,true
388,Registro_388,Descripcion del registro 388,true
389,Registro_389,Descripcion del registro 389,true
390,Registro_390,Descripcion del registro 390,true
391,Registro_391,Descripcion del registro 391,true
392,Registro_392,Descripcion del registro 392,true
393,Registro_393,Descripcion del registro 393,true
394,Registro_394,Descripcion del registro 394,true
395,Registro_395,Descripcion del registro 395,true
396,Registro_396,Descripcion del registro 396,true
397,Registro_397,Descripcion del registro 397,true
398,Registro_398,Descripcion del registro 398,true
399,Registro_399,Descripcion del registro 399,true
400,Registro_400,Descripcion del registro 400,true
401,Registro_401,Descripcion del registro 401,true
402,Registro_402,Descripcion del registro 402,true
403,Registro_403,Descripcion del registro 403,true
404,Registro_404,Descripcion del registro 404,true
405,Registro_405,Descripcion del registro 405,true
406,Registro_406,Descripcion del registro 406,true
407,Registro_407,Descripcion del registro 407,true
408,Registro_408,Descripcion del registro 408,true
409,Registro_409,Descripcion del registro 409,true
410,Registro_410,Descripcion del registro 410,true
411,Registro_411,Descripcion del registro 411,true
412,Registro_412,Descripcion del registro 412,true
413,Registro_413,Descripcion del registro 413,true
414,Registro_414,Descripcion del registro 414,true
415,Registro_415,Descripcion del registro 415,true
416,Registro_416,Descripcion del registro 416,true
417,Registro_417,Descripcion del registro 417,true
418,Registro_418,Descripcion del registro 418,true
419,Registro_419,Descripcion del registro 419,true
420,Registro_420,Descripcion del registro 420,true
421,Registro_421,Descripcion del registro 421,true
422,Registro_422,Descripcion del registro 422,true
423,Registro_423,Descripcion del registro 423,true
424,Registro_424,Descripcion del registro 424,true
425,Registro_425,Descripcion del registro 425,true
426,Registro_426,Descripcion del registro 426,true
427,Registro_427,Descripcion del registro 427,true
428,Registro_428,Descripcion del registro 428,true
429,Registro_429,Descripcion del registro 429,true
430,Registro_430,Descripcion del registro 430,true
431,Registro_431,Descripcion del registro 431,true
432,Registro_432,Descripcion del registro 432,true
433,Registro_433,Descripcion del registro 433,true
434,Registro_434,Descripcion del registro 434,true
435,Registro_435,Descripcion del registro 435,true
436,Registro_436,Descripcion del registro 436,true
437,Registro_437,Descripcion del registro 437,true
438,Registro_438,Descripcion del registro 438,true
439,Registro_439,Descripcion del registro 439,true
440,Registro_440,Descripcion del registro 440,true
441,Registro_441,Descripcion del registro 441,true
442,Registro_442,Descripcion del registro 442,true
443,Registro_443,Descripcion del registro 443,true
444,Registro_444,Descripcion del registro 444,true
445,Registro_445,Descripcion del registro 445,true
446,Registro_446,Descripcion del registro 446,true
447,Registro_447,Descripcion del registro 447,true
448,Registro_448,Descripcion del registro 448,true
449,Registro_449,Descripcion del registro 449,true
450,Registro_450,Descripcion del registro 450,true
451,Registro_451,Descripcion del registro 451,true
452,Registro_452,Descripcion del registro 452,true
453,Registro_453,Descripcion del registro 453,true
454,Registro_454,Descripcion del registro 454,true
455,Registro_455,Descripcion del registro 455,true
456,Registro_456,Descripcion del registro 456,true
457,Registro_457,Descripcion del registro 457,true
458,Registro_458,Descripcion del registro 458,true
459,Registro_459,Descripcion del registro 459,true
460,Registro_460,Descripcion del registro 460,true
461,Registro_461,Descripcion del registro 461,true
462,Registro_462,Descripcion del registro 462,true
463,Registro_463,Descripcion del registro 463,true
464,Registro_464,Descripcion del registro 464,true
465,Registro_465,Descripcion del registro 465,true
466,Registro_466,Descripcion del registro 466,true
467,Registro_467,Descripcion del registro 467,true
468,Registro_468,Descripcion del registro 468,true
469,Registro_469,Descripcion del registro 469,true
470,Registro_470,Descripcion del registro 470,true
471,Registro_471,Descripcion del registro 471,true
472,Registro_472,Descripcion del registro 472,true
473,Registro_473,Descripcion del registro 473,true
474,Registro_474,Descripcion del registro 474,true
475,Registro_475,Descripcion del registro 475,true
476,Registro_476,Descripcion del registro 476,true
477,Registro_477,Descripcion del registro 477,true
478,Registro_478,Descripcion del registro 478,true
479,Registro_479,Descripcion del registro 479,true
480,Registro_480,Descripcion del registro 480,true
481,Registro_481,Descripcion del registro 481,true
482,Registro_482,Descripcion del registro 482,true
483,Registro_483,Descripcion del registro 483,true
484,Registro_484,Descripcion del registro 484,true
485,Registro_485,Descripcion del registro 485,true
486,Registro_486,Descripcion del registro 486,true
487,Registro_487,Descripcion del registro 487,true
488,Registro_488,Descripcion del registro 488,true
489,Registro_489,Descripcion del registro 489,true
490,Registro_490,Descripcion del registro 490,true
491,Registro_491,Descripcion del registro 491,true
492,Registro_492,Descripcion del registro 492,true
493,Registro_493,Descripcion del registro 493,true
494,Registro_494,Descripcion del registro 494,true
495,Registro_495,Descripcion del registro 495,true
496,Registro_496,Descripcion del registro 496,true
497,Registro_497,Descripcion del registro 497,true
498,Registro_498,Descripcion del registro 498,true
499,Registro_499,Descripcion del registro 499,true
500,Registro_500,Descripcion del registro 500,true
501,Registro_501,Descripcion del registro 501,true
502,Registro_502,Descripcion del registro 502,true
